"rsID"	"h2"	"pos"	"gene"	"updist"	"downdist"	"context"	"raf"
"rs3812163"	0.000746404664344467	7725527	"BMP6"	-999	-999	"nearGene-5"	"0.54"
"rs11830103"	0.000453950860372914	123338999	"SBNO1"	-999	-999	"intron"	"0.78"
"rs3764419"	0.00066803697474938	30837005	"ATAD5"	-999	-999	"intron"	"0.39"
"rs6439167"	0.00044201696248192	129331913	"NUP210P3 - MARK2P3"	7.94	2.62	"Intergenic"	"0.21"
"rs543650"	0.000542244882229336	151789808	"ESR1"	-999	-999	"intron"	"0.4"
"rs12534093"	0.000430270368669169	23463355	"IGF2BP3"	-999	-999	"intron"	"0.22"
"rs11648796"	0.000406608995569002	742190	"NARFL"	-999	-999	"nearGene-5"	"0.74"
"rs7567288"	0.000362625743751727	133677253	"NCKAP5 - MGAT5"	35.71	442.68	"Intergenic"	"0.8"
"rs1047014"	0.00039642503575758	19841262	"ID4"	-999	-999	"UTR-3"	"0.75"
"rs3129109"	0.000532020538003726	29116455	"TRNAI25"	-999	-999	""	"0.39"
"rs2093210"	0.000515820102480349	60490561	"C14orf39 - SALL4P7"	4.52	3.3	"Intergenic"	"0.58"
"rs4986172"	0.000498073106581209	45138914	"ACBD4"	-999	-999	"intron"	"0.35"
"rs9863706"	0.000386245235711738	72388262	"RYBP"	-999	-999	"intron"	"0.22"
"rs422421"	0.00037279502498173	177090325	"FGFR4"	-999	-999	"intron"	"0.22"
"rs2110001"	0.000390469716022212	150819934	"TMEM176A - AOC1"	14.81	4.69	"Intergenic"	"0.69"
"rs5742915"	0.000474361968370521	74044292	"PML"	-999	-999	"missense"	"0.54"
"rs4072910"	0.000386245235711738	8579147	"MYO1F"	-999	-999	"nearGene-5"	"0.46"
"rs2154319"	0.000362625743751727	41280098	"RPL36AP9 - FOXO6"	15.22	81.56	"Intergenic"	"0.75"
"rs12153391"	0.000352461404843003	171776434	"FGF18 - SMIM23"	318.81	9.38	"Intergenic"	"0.25"
"rs889014"	0.000475913734105122	173557111	"MIR8056 - BOD1"	209.58	50.03	"Intergenic"	"0.36"
"rs227724"	0.000445714902608322	56701456	"NOG - C17orf67"	105.87	90.46	"Intergenic"	"0.65"
"rs12982744"	0.000492098169931433	2177194	"DOT1L"	-999	-999	"intron"	"0.6"
"rs274546"	0.000479615400685234	132364175	"LOC553103"	-999	-999	"intron"	"0.4"
"rs6457620"	0.000498073106581209	32696222	"TRNAI25"	-999	-999	""	"0.51"
"rs6473015"	0.000378029705761501	77266249	"HIGD1AP18 - PKIA"	252.2	1249.85	"Intergenic"	"0.72"
"rs2856321"	0.000450666566914993	11702839	"ETV6"	-999	-999	"intron"	"0.64"
"rs891088"	0.000362625743751727	7184751	"INSR"	-999	-999	"intron"	"0.74"
"rs4601530"	0.000362625743751727	24717620	"SRRM1 - CLIC4"	44.34	27.65	"Intergenic"	"0.26"
"rs6684205"	0.000362625743751727	218436360	"TGFB2"	-999	-999	"intron"	"0.71"
"rs11684404"	0.000406608995569002	88625104	"EIF2AK3"	-999	-999	"intron"	"0.67"
"rs11599750"	0.00039642503575758	100045685	"CPN1"	-999	-999	"intron"	"0.38"
"rs7971536"	0.000409888349984748	101980010	"NENFP2 - CCDC53"	15.54	32.93	"Intergenic"	"0.46"
"rs862034"	0.000411850942859912	74524043	"LTBP2"	-999	-999	"intron"	"0.36"
"rs4965598"	0.000386245235711738	100219409	"ADAMTS17"	-999	-999	"intron"	"0.68"
"rs17782313"	0.000318735378525249	60183864	"RPS3AP49 - MC4R"	33.46	187.47	"Intergenic"	"0.76"
"rs2336725"	0.00037279502498173	53084723	"SERBP1P3 - RFT1"	19.63	0.91	"Intergenic"	"0.55"
"rs11958779"	0.000362625743751727	55706071	"SLC38A9"	-999	-999	"intron"	"0.7"
"rs10838801"	0.000352461404843003	48076728	"PTPRJ"	-999	-999	"intron"	"0.69"
"rs6714546"	0.000261604888003983	33136358	"LTBP1"	-999	-999	"intron"	"0.28"
"rs9835332"	0.000382968992302037	56633654	"FAM208A"	-999	-999	"missense"	"0.46"
"rs9472414"	0.000261604888003983	44978769	"SUPT3H"	-999	-999	"intron"	"0.22"
"rs1468758"	0.000271709213665396	111044802	"LPAR1 - RNY4P18"	5.56	52.53	"Intergenic"	"0.25"
"rs2145998"	0.000386245235711738	79361940	"PPIF - ZCCHC24"	6.61	20.39	"Intergenic"	"0.49"
"rs1570106"	0.000241424268762177	68346398	"RAD51B"	-999	-999	"intron"	"0.2"
"rs11118346"	0.000362625743751727	219570377	"RIMKLBP2 - ZC3H11B"	369.68	37.55	"Intergenic"	"0.47"
"rs822552"	0.000222222448738938	148953542	"RNY5 - RNY4"	11.97	9.77	"Intergenic"	"0.74"
"rs1013209"	0.000261604888003983	24258791	"STC1 - ADAM28"	403.98	35.25	"Intergenic"	"0.25"
"rs10874746"	0.000310548705360007	92858414	"FAM69A"	-999	-999	"intron"	"0.37"
"rs12694997"	0.000238179698483486	241323571	"SEPT2"	-999	-999	"intron"	"0.24"
"rs9844666"	0.000251509679790735	136255374	"PCCB"	-999	-999	"intron"	"0.25"
"rs961764"	0.000339032938108901	117200993	"RPS29P13 - VGLL2"	152.15	64.57	"Intergenic"	"0.42"
"rs6959212"	0.000261604888003983	38088724	"EPDR1 - STARD3NL"	136.78	89.48	"Intergenic"	"0.32"
"rs7853377"	0.000214813000365953	83937290	"KIF27 - C9orf64"	15.78	1.02	"Intergenic"	"0.77"
"rs7155279"	0.000305333115524483	92019537	"TRIP11"	-999	-999	"intron"	"0.36"
"rs955748"	0.000218048819786697	183294522	"WWC2"	-999	-999	"intron"	"0.24"
"rs1582931"	0.000295202593388767	123321505	"SUMO1P5 - CEP120"	77.92	23.38	"Intergenic"	"0.47"
"rs7112925"	0.000273245861371073	67058689	"RHOD"	-999	-999	"intron"	"0.35"
"rs7926971"	0.000285079364413273	12676493	"TEAD1;LOC102723893"	-999	-999	"intron;intron"	"0.55"
"rs7332115"	0.00027916122924399	32573411	"N4BP2L2-IT2 - PDS5B"	64.02	13.02	"Intergenic"	"0.62"
"rs1043515"	0.000289279968430563	38765943	"PIP4K2B"	-999	-999	"UTR-3"	"0.45"
"rs1741344"	0.000255698421014838	4121153	"LOC101929155"	-999	-999	"ncRNA"	"0.63"
"rs1325598"	0.000271709213665396	176823113	"PAPPA2"	-999	-999	"intron"	"0.43"
"rs6879260"	0.000261604888003983	180304014	"GFPT2"	-999	-999	"intron"	"0.39"
"rs3110496"	0.000243366377387083	29590753	"GIT1;ANKRD13B"	-999	-999	"nearGene-5;intron"	"0.33"
"rs10863936"	0.000261604888003983	212064456	"DTL"	-999	-999	"intron"	"0.53"
"rs7909670"	0.000255698421014838	12876764	"MIR548Q - CCDC3"	151.41	19.86	"Intergenic"	"0.44"
"rs7178424"	0.000245608856610417	62088060	"NPM1P47 - C2CD4B"	4.75	75.48	"Intergenic"	"0.47"
"rs1046943"	0.000222222448738938	109462738	"ZBTB24;MICAL1"	-999	-999	"UTR-3;intron"	"0.58"
"rs494459"	0.000228108413510866	118703966	"TREH - DDX6"	24.29	43.8	"Intergenic"	"0.41"
"rs7532866"	0.000222222448738938	26415053	"LIN28A"	-999	-999	"intron"	"0.67"
"rs6699417"	0.000248261798590447	88657760	"LOC101927891"	-999	-999	"intron"	"0.61"
"rs2072153"	0.000218048819786697	49312652	"ZNF652"	-999	-999	"intron"	"0.3"
"rs4605213"	0.000222222448738938	51167386	"NME2;NME1-NME2"	-999	-999	"intron;intron"	"0.34"
"rs425277"	0.000228108413510866	2137733	"PRKCZ"	-999	-999	"intron"	"0.28"
"rs7864648"	0.000228108413510866	16368734	"C9orf92 - BNC2"	92.42	40.77	"Intergenic"	"0.32"
"rs1330"	0.000248261798590447	17294482	"NUCB2"	-999	-999	"intron"	"0.35"
"rs1814175"	0.000228108413510866	49537620	"CBX3P8 - TRIM51FP"	130.91	295.35	"Intergenic"	"0.34"
"rs2629046"	0.000342302285018502	224183027	"SERPINE2 - FAM124B"	143.71	195.67	"Intergenic"	"0.55"
"rs10010325"	0.000318735378525249	105185196	"TET2"	-999	-999	"intron"	"0.49"
"rs4640244"	0.000228108413510866	21380911	"KCNJ12"	-999	-999	"intron"	"0.61"
"rs1738475"	0.000356679369434815	23210398	"HTR1D - RPL29P6"	15.67	34.33	"Intergenic"	"0.59"
"rs2341459"	0.000274963917339021	44541063	"CAMKMT"	-999	-999	"intron"	"0.27"
"rs2247341"	0.000328881181341098	1699590	"SLBP"	-999	-999	"cds-synon"	"0.36"
"rs654723"	0.000318735378525249	128716260	"FLI1"	-999	-999	"intron"	"0.62"
"rs7319045"	0.000339032938108901	91372320	"MIR92A1 - GPC5"	20.93	26.36	"Intergenic"	"0.4"
"rs11867479"	0.000295202593388767	70094066	"KCNJ16"	-999	-999	"intron"	"0.34"
"rs2279008"	0.000222222448738938	17172493	"MYO9B"	-999	-999	"intron"	"0.74"
"rs310405"	0.00039642503575758	81090645	"RPL17P25 - FAM46A"	716.04	655.09	"Intergenic"	"0.52"
"rs751543"	0.000276911978797937	116360063	"PAPPA"	-999	-999	"intron"	"0.72"
"rs8181166"	0.000356679369434815	86501713	"RPS6P13 - GAS1"	125.97	442.65	"Intergenic"	"0.53"
"rs2834442"	0.00034919031519022	34318486	"LINC00310 - KCNE2"	128.57	45.54	"Intergenic"	"0.65"
"rs5017948"	0.000222222448738938	54705062	"OR4A5"	-999	-999	"nearGene-5"	"0.18"
"rs1659127"	0.000339032938108901	14294448	"TRNAT6 - MIR193B"	8.48	9.52	"Intergenic"	"0.34"
"rs12474201"	0.000390469716022212	46694146	"CRIPT - SOCS5"	63.97	4.81	"Intergenic"	"0.35"
"rs7697556"	0.000430270368669169	72649596	"ADAMTS3 - HNRNPA1P67"	80.8	157.59	"Intergenic"	"0.47"
"rs12680655"	0.000430270368669169	134625094	"ZFAT"	-999	-999	"intron"	"0.6"
